"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MYO6",2.18079148324529e-08,-0.810728417646133,0.1,0.164,0.000734795882364667
"TCEB2",2.21298110837158e-08,0.43435272579561,0.338,0.256,0.000745641854654721
"GABRB2",2.35038975313514e-08,-0.323441269251582,0.561,0.632,0.000791940323421356
"NFASC",2.39087352372063e-08,-0.43305120134945,0.331,0.413,0.00080558092508243
"RPL17",2.42663693924685e-08,-1.18438252490481,0.041,0.088,0.000817631050309835
"MGEA5",2.51321124144661e-08,-0.486717477045192,0.305,0.386,0.000846801395693022
"ANKRD49",2.57420557097131e-08,-0.599031631096035,0.188,0.264,0.000867352825083074
"KIAA1549L",2.91468221114665e-08,-0.471123417339938,0.255,0.338,0.000982073024223752
"VWA5B2",2.94720688245846e-08,-0.755839459235776,0.096,0.159,0.000993031886975554
"ZNF26",3.02663029870116e-08,-1.04909794960007,0.04,0.087,0.00101979281284437
"KCNQ1OT1",3.36367160143533e-08,-0.846835281015087,0.301,0.367,0.00113335550938762
"CADM3",3.37469366891557e-08,0.438490411476859,0.327,0.243,0.00113706928480441
"MDGA2",3.52251452522764e-08,-0.651885134856891,0.174,0.246,0.0011868760441302
"RP11-707A18.1",3.80965203618452e-08,-1.4367033102013,0.03,0.071,0.00128362415707201
"SYT7",3.86277643790626e-08,-0.377012213705659,0.363,0.451,0.00130152389298814
"PEG10",4.04594468777579e-08,0.579417697387817,0.237,0.166,0.00136324060309918
"KCNB1",4.12884054633043e-08,-0.496979738723938,0.283,0.359,0.00139117153368057
"NUCKS1",4.14698889338811e-08,0.329634504362432,0.595,0.523,0.00139728643773819
"STIP1",4.17177151250767e-08,0.994453123412338,0.121,0.069,0.00140563669342433
"INSR",4.22735695807255e-08,-0.583869274070889,0.192,0.267,0.00142436565345296
"CLTA",4.43991079953445e-08,0.65811316929202,0.212,0.143,0.00149598354479514
"DLGAP1-AS4",4.44114609264066e-08,-1.20426992516983,0.022,0.06,0.00149639976445434
"TACC1",4.51347116420001e-08,-0.424696016828076,0.301,0.383,0.00152076897406555
"HERC1",4.58101110675841e-08,-0.426958360825644,0.374,0.448,0.00154352588231118
"PRELP",5.34282684694412e-08,1.5574973013936,0.057,0.023,0.00180021207780935
"ARFRP1",5.91399989134546e-08,-0.774612551662695,0.07,0.124,0.00199266312338994
"SPINT2",5.96988978731917e-08,0.63067960976768,0.232,0.164,0.00201149466493932
"TRIM33",6.11066786044605e-08,-0.40481917533577,0.252,0.334,0.00205892842889869
"PDZD2",6.2066997106395e-08,-1.27900547393206,0.044,0.09,0.00209128540050287
"ETV1",6.21138824993193e-08,-0.692835992020825,0.098,0.16,0.00209286515693206
"HLF",6.25947479303755e-08,0.609083808252178,0.299,0.228,0.00210906743676607
"FLRT2",6.66576556028044e-08,-0.675274460547767,0.134,0.201,0.00224596304788089
"ZKSCAN1",6.87200099825962e-08,-0.589107629448807,0.18,0.254,0.0023154520163536
"CHD5",6.91139348987405e-08,0.321536144018423,0.626,0.546,0.00232872492247816
"CDK11A",7.13811990716079e-08,1.14694501579562,0.086,0.043,0.00240511812151876
"STUB1",7.25371003140766e-08,0.707358319299628,0.214,0.148,0.0024440650579825
"ATP1A3",8.53720597027732e-08,0.430810333501644,0.405,0.323,0.00287652617962524
"PUM1",8.72227367006282e-08,0.518225828318129,0.335,0.259,0.00293888289039096
"GATAD1",9.29167576429486e-08,-0.902970631853485,0.08,0.135,0.00313073723202151
"RPL3",9.89316700343533e-08,-0.421076998208669,0.312,0.393,0.0033334036901375
"TNR",1.03041198150155e-07,-0.775739987919294,0.069,0.123,0.00347187013047131
"FBXO22",1.04608773790563e-07,-0.703088461740718,0.126,0.191,0.00352468802409922
"CALY",1.07175948841294e-07,0.514427094375349,0.316,0.241,0.00361118642025855
"KIF21A",1.1091150880884e-07,-0.356609926922568,0.336,0.416,0.00373705237780507
"CAPZA2",1.11735287281913e-07,0.571506735755274,0.252,0.182,0.00376480876967676
"TSPYL4",1.14146270509214e-07,0.588437524355907,0.302,0.229,0.00384604443853744
"SMG7",1.14972338995053e-07,0.727192251069078,0.19,0.128,0.00387387799009931
"ARF5",1.15518124096882e-07,0.982739957939431,0.1,0.054,0.00389226767332033
"RP4-736H5.3",1.24693138847405e-07,-5.11637685610853,0.001,0.02,0.00420141062032448
"BPTF",1.27029856027454e-07,-0.552904057838321,0.3,0.374,0.00428014396898903
"PNMAL2",1.2871748032434e-07,0.64542332739155,0.327,0.256,0.00433700678204832
"RB1CC1",1.29641786423934e-07,-0.619577198388957,0.187,0.258,0.00436815035176802
"RABAC1",1.30640118252275e-07,0.640244218879511,0.218,0.152,0.00440178814439215
"FAM208B",1.34073975504877e-07,-0.797143496067593,0.068,0.12,0.00451748853066133
"KMT2C",1.37403821249984e-07,-0.507141591120111,0.212,0.285,0.00462968435319695
"NSF",1.40445860791921e-07,0.416244022497819,0.4,0.323,0.00473218283352298
"PHIP",1.41338835286351e-07,-0.465731837161971,0.242,0.32,0.00476227071613832
"ZC3H13",1.4431680285046e-07,-0.550012941592377,0.258,0.332,0.00486261035524339
"PRDM2",1.49407474067863e-07,-0.539413587569822,0.204,0.277,0.00503413543124259
"RBFOX2",1.4996355642282e-07,-0.355517682721382,0.324,0.409,0.0050528720701105
"RDX",1.50061882889983e-07,0.830295705021098,0.115,0.065,0.00505618508209508
"AC004951.6",1.52194331325111e-07,-0.74748566144186,0.087,0.144,0.00512803579966828
"BAD",1.52242995341416e-07,0.841681799540963,0.135,0.082,0.00512967548503367
"LL0XNC01-16G2.1",1.54869454791487e-07,0.884135717578804,0.102,0.055,0.00521817140974435
"CAMK2N1",1.55887154217748e-07,0.392206640983444,0.475,0.398,0.00525246177421279
"SYTL2",1.61274191194585e-07,-0.741404056119305,0.094,0.152,0.00543397259811035
"ZBTB16",1.68514634520427e-07,-0.907652725911779,0.074,0.127,0.00567793209553126
"ACTG1",1.79548666372378e-07,0.407055032636408,0.43,0.359,0.00604971276475091
"ERCC5",1.83747460428038e-07,-0.931755621532493,0.059,0.108,0.00619118693166232
"CCAR1",1.87355036192308e-07,-0.562949947513372,0.122,0.185,0.00631274058946364
"INA",1.8854619972013e-07,0.683871920224522,0.222,0.159,0.00635287565337006
"SNHG23",1.92984530413959e-07,-0.655587406539037,0.144,0.209,0.00650242076776792
"ANKRD36",2.01795222206851e-07,0.385808744140269,0.387,0.31,0.00679928821703765
"ATN1",2.0495184781622e-07,0.547781770766981,0.277,0.206,0.00690564756031973
"TOM1",2.06076776386558e-07,1.04946105222658,0.115,0.067,0.00694355090356869
"CALB2",2.0800719626806e-07,2.48972210560845,0.04,0.013,0.00700859447105602
"YWHAH",2.11974264863508e-07,0.358892567631107,0.518,0.436,0.00714226088031105
"SFPQ",2.12819531010773e-07,-0.424835449756204,0.342,0.412,0.00717074127787699
"KLHL34",2.17825887062001e-07,1.65973684902815,0.03,0.008,0.00733942543866707
"DHX36",2.18407795388343e-07,-0.702430112600479,0.169,0.234,0.00735903225781484
"SCAI",2.25416492732689e-07,-0.522722809490719,0.176,0.246,0.00759518330613523
"MPPED2",2.265891530668e-07,-0.983563815981206,0.046,0.09,0.00763469492343276
"PPP1R12B",2.35733081681543e-07,-0.614827022975501,0.153,0.218,0.0079427904541779
"SUN1",2.49292518193363e-07,-0.529484693437849,0.189,0.257,0.00839966210800719
"GLUL",2.61708352551336e-07,0.873133852761482,0.093,0.05,0.00881800123086473
"CEP350",2.74367115226548e-07,-0.561796829038029,0.161,0.228,0.00924452558044331
"SMCR5",2.81286207762619e-07,0.750799105845871,0.118,0.068,0.00947765748435369
"WASH1",2.90966604466219e-07,0.709986274057897,0.199,0.138,0.00980382877088477
"HSP90AA1",2.93890006630002e-07,0.250843227001831,0.648,0.589,0.00990232988339128
"MNS1",3.07706584385993e-07,0.655666214383268,0.14,0.087,0.0103678656543017
"LINC00632",3.08525865363046e-07,-0.432990474297425,0.362,0.427,0.0103954705075425
"GMCL1",3.13003981554559e-07,-0.916501105283157,0.063,0.112,0.0105463561544993
"ZNF669",3.14693373546435e-07,1.39038960262664,0.045,0.016,0.0106032785282736
"GNPTAB",3.28270113262288e-07,-0.516033673253722,0.21,0.278,0.0110607331962595
"USP34",3.43223425726298e-07,-0.539549948864234,0.214,0.28,0.0115645701064219
"KLC1",3.69608564766653e-07,0.343971325004557,0.542,0.47,0.0124535909812476
"TYRO3",3.90616010279672e-07,-0.52310798348873,0.213,0.283,0.0131614158503633
"ATP6V1B2",3.94002499298043e-07,0.388037996139162,0.43,0.353,0.0132755202113483
"SLC9A6",4.13417142887358e-07,0.438989186187021,0.352,0.28,0.0139296772124466
"DLGAP1",4.35048433066435e-07,-0.363824307005466,0.279,0.354,0.0146585219037405
"RAB3C",4.39499389652648e-07,0.864616731080292,0.174,0.118,0.0148084924349563
"ZFHX2",4.42599722633385e-07,-0.890561524293467,0.051,0.097,0.0149129550544093
