"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CEBPB-AS1",3.78818165552737e-10,-1.16344159819534,0.01,0.023,1.27638992701339e-05
"NDUFAF5",3.80182902536383e-10,-0.48152486377316,0.046,0.069,1.28098827180609e-05
"FGD6",3.83582365757804e-10,-1.10822676188336,0.014,0.028,1.29244242318435e-05
"CFAP221",3.85326928403495e-10,-0.446712711382033,0.061,0.087,1.29832055256274e-05
"MSANTD3",3.93195084766626e-10,-0.712815228714527,0.019,0.036,1.32483151861267e-05
"ZNF800",4.00008145363413e-10,-0.408019241549929,0.063,0.089,1.34778744498748e-05
"SHISA8",4.04699196142926e-10,1.87215499603293,0.014,0.005,1.36359347148397e-05
"FKBP4",4.0498840650854e-10,0.49212668077758,0.148,0.117,1.36456793688987e-05
"EXTL1",4.05355989332002e-10,-0.291952928606997,0.092,0.123,1.36580647045525e-05
"BCL11A",4.07580572183176e-10,-0.186133868810269,0.177,0.219,1.37330197991399e-05
"BEND6",4.16853513765002e-10,-0.354069126687616,0.074,0.102,1.4045462292798e-05
"GSTP1",4.17722147687035e-10,0.498238711284251,0.079,0.055,1.4074730044167e-05
"AMPD3",4.17977020517393e-10,-0.5813181217932,0.019,0.036,1.4083317729313e-05
"RP11-379F4.4",4.24810579652772e-10,-0.781222995701607,0.019,0.036,1.43135676708205e-05
"PHYKPL",4.26663778863589e-10,-0.604885313021695,0.032,0.052,1.43760093650298e-05
"DEAF1",4.27165999790978e-10,0.538052576743877,0.16,0.129,1.43929311969572e-05
"RPL27",4.29231413104468e-10,-0.291366347910844,0.138,0.175,1.4462523233142e-05
"FBXO11",4.40001545383457e-10,-0.201791970591797,0.147,0.186,1.48254120701502e-05
"C1orf145",4.46854724769483e-10,-1.84121112919051,0.003,0.012,1.5056323096383e-05
"DNM3",4.48496409031211e-10,-0.176935244239674,0.142,0.18,1.51116380058976e-05
"EML1",4.49968635221707e-10,-0.586045309206227,0.038,0.059,1.51612431951602e-05
"RP11-448A19.1",4.57290827916901e-10,-0.944013947181122,0.014,0.029,1.54079571558321e-05
"GOSR2",4.65953726344895e-10,-0.520700865684308,0.023,0.04,1.56998448554649e-05
"RUNDC1",4.73093292722251e-10,-0.391196855025099,0.073,0.1,1.59404054049835e-05
"COA7",4.77563843416259e-10,-0.781754534966525,0.015,0.03,1.60910361400674e-05
"EIF2B1",4.81911112275945e-10,-0.591319063846961,0.055,0.079,1.62375130170257e-05
"ACAA1",4.82595471360931e-10,-0.251454505251808,0.152,0.19,1.62605718120352e-05
"GAREM1",4.82645936950091e-10,-0.343316857587812,0.053,0.077,1.62622721995963e-05
"PSMC2",4.90787033799263e-10,-0.47700494027658,0.049,0.073,1.65365783168324e-05
"PHACTR4",4.92050633781118e-10,-0.442933833695588,0.048,0.072,1.6579154054621e-05
"TRIM14",5.00214154278534e-10,-0.551000645020832,0.033,0.053,1.68542157142609e-05
"NIPAL3",5.0034102893716e-10,-0.315865339241184,0.056,0.082,1.68584906290087e-05
"PRELID1",5.02760396175853e-10,0.597121008221,0.09,0.065,1.69400087887492e-05
"PGM3",5.10193583688722e-10,-0.507462535382992,0.046,0.069,1.71904626088078e-05
"PRPSAP1",5.1382442900885e-10,-0.189254562141225,0.125,0.162,1.73128003110242e-05
"EIF4A2",5.17915312767346e-10,0.150536831680373,0.594,0.567,1.7450638548383e-05
"PAFAH1B3",5.17973546047258e-10,0.645546151640152,0.045,0.028,1.74526006605163e-05
"ZNF207",5.23525463799589e-10,-0.215456681022559,0.242,0.287,1.76396669772633e-05
"GALK2",5.40963850440654e-10,-0.376114660259008,0.083,0.112,1.82272359767474e-05
"PI4KA",5.43849117727527e-10,-0.181986032728909,0.273,0.32,1.83244521727113e-05
"NPM1",5.6113336326065e-10,-0.274857042967413,0.117,0.151,1.89068275417043e-05
"SEMA6A",5.62433702689868e-10,-0.556452704165261,0.037,0.059,1.89506411784324e-05
