"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANKS6",1.49538220483627e-06,-0.652333569983405,0.079,0.108,0.0503854080097533
"POP7",1.4976665756673e-06,0.355063770900865,0.095,0.066,0.050462377600534
"TFRC",1.49788910767977e-06,-0.55189976761938,0.07,0.099,0.0504698755941622
"WIPF3",1.50010493254303e-06,0.301427733264195,0.14,0.105,0.0505445355971048
"LIN7C",1.50027460460578e-06,0.242698201192552,0.162,0.124,0.0505502525275872
"TAB2",1.50417326382341e-06,0.407354790079205,0.115,0.084,0.0506816139512659
"RP11-15A1.3",1.50464492886779e-06,0.653664606485155,0.052,0.032,0.0506975062332715
"EIF4G2",1.50644161799151e-06,0.210382154817201,0.27,0.221,0.0507580438766059
"WDR73",1.52349607958932e-06,-0.852509698443841,0.054,0.079,0.0513326769056826
"FAM189B",1.52784779066682e-06,-0.574111567201236,0.114,0.147,0.051479303458728
"CTD-2349P21.5",1.54528374667099e-06,-1.46804577597501,0.007,0.02,0.0520667905603322
"POLD2",1.56514750401088e-06,0.493963242595452,0.069,0.045,0.0527360800001425
"NOC2L",1.58178206830175e-06,0.305799260198034,0.196,0.156,0.0532965650093592
"AC058791.1",1.59052366764709e-06,-0.561474514182232,0.103,0.136,0.0535911044577012
"CCDC171",1.59176479466971e-06,0.158010869370655,0.204,0.161,0.0536329229916011
"KIDINS220",1.6207800489984e-06,-0.3059734492223,0.321,0.361,0.0546105629709521
"ST5",1.63045605869195e-06,-0.645882810340223,0.06,0.087,0.0549365864415666
"PDE7A",1.63239212660468e-06,-0.559146537675711,0.071,0.1,0.0550018203138182
"ZNF276",1.65735540316188e-06,-0.5162420149138,0.12,0.153,0.0558429329541362
"PDCD10",1.66724438784366e-06,0.399416544696313,0.101,0.072,0.0561761324040043
"RNF145",1.66889595506846e-06,0.202888899849482,0.221,0.177,0.0562317803100767
"STARD10",1.66931117632157e-06,0.320628424832511,0.13,0.097,0.056245770774979
"PCBP4",1.70274547823748e-06,-0.422622516328031,0.176,0.214,0.0573723061437335
"CALCOCO1",1.76548995154854e-06,-0.438303422074509,0.208,0.245,0.0594864184274766
"MRPL54",1.77125849088654e-06,0.734963911921367,0.05,0.03,0.0596807835919311
"MRPS12",1.77687707432483e-06,0.682724136333275,0.051,0.031,0.0598700961423007
"RPL37A",1.7877443588203e-06,-0.31485358695388,0.392,0.423,0.060236258426091
"TRAPPC11",1.79567657071553e-06,-0.760817820427457,0.06,0.087,0.0605035263736891
"CXorf23",1.80389186087123e-06,-0.800990901978221,0.067,0.094,0.0607803323601953
"NAA40",1.81771127376603e-06,-0.692307758970275,0.059,0.085,0.0612459636582725
"CYHR1",1.83065013839617e-06,-0.377523466549104,0.344,0.375,0.0616819257631206
"NUDCD1",1.83301587077298e-06,0.630523610958861,0.046,0.027,0.0617616367498248
"RPL15",1.8387957198048e-06,0.107179329203776,0.484,0.415,0.0619563829831028
"ANKRD17",1.83994835629185e-06,-0.453470691246804,0.263,0.298,0.0619952199168974
"PDE4DIP",1.84346740536615e-06,-0.376811893399101,0.401,0.425,0.062113790756407
"HSPB8",1.85085653990956e-06,0.573657973001511,0.053,0.032,0.0623627602557128
"GGT7",1.85749362964419e-06,-0.408038662384731,0.236,0.274,0.0625863903572313
"MIR9-3HG",1.86082836285732e-06,-0.577046738369399,0.087,0.117,0.0626987508581146
"CIART",1.8655462892455e-06,0.693150107243777,0.041,0.023,0.062857716669838
"NDUFV2",1.86610381990729e-06,0.218324791965214,0.164,0.125,0.0628765021079561
"SMC6",1.877572218739e-06,-0.556295814851537,0.1,0.132,0.0632629183381918
"HSPA13",1.91358195092073e-06,0.254199371171575,0.182,0.142,0.064476230254323
"SEMA5B",1.92206090955544e-06,-0.790023172816315,0.058,0.084,0.0647619202865609
"RP11-416N2.4",1.92384718346144e-06,-1.15370637179886,0.014,0.03,0.0648221069995498
"IRF2BP1",1.93106136292022e-06,0.794562734829684,0.056,0.035,0.0650651815622339
