"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VAMP2",1.88875405078471e-62,0.255777926831696,0.919,0.87,6.36396789871401e-58
"DNM1",7.60652707464886e-62,0.316614197004753,0.852,0.77,2.56294323253219e-57
"RPRML",8.1665706874317e-62,0.857630076579084,0.256,0.138,2.75164432742324e-57
"HSPB1",1.23908026035033e-61,1.1757951843607,0.184,0.085,4.17495702922439e-57
"CCDC88A",2.17839804435865e-61,-0.687692956450464,0.448,0.58,7.33989437066205e-57
"XIST",2.67632763935744e-61,0.345899361337658,0.649,0.485,9.01761834805097e-57
"MEF2C",4.58865580347442e-61,0.239563799261131,0.96,0.949,1.54610168642267e-56
"KRT10",5.23458280287394e-61,0.954312889648881,0.19,0.087,1.76374032960035e-56
"FTH1",1.10685356538515e-60,0.310469905747564,0.834,0.763,3.72943240320874e-56
"RPS12",2.328504462043e-60,-1.16009698062756,0.096,0.204,7.84566293440768e-56
"TRIM9",3.0178859209067e-60,-0.618291469159721,0.46,0.59,1.0168464821903e-55
"RPL34",4.61963315061457e-60,-0.454662393829468,0.632,0.732,1.55653919376807e-55
"RPL6",9.5881961047955e-60,-0.703576770312027,0.328,0.463,3.2306467955498e-55
"TEF",2.53108096857112e-57,0.98669232881404,0.258,0.151,8.52822421550352e-53
"CHGA",4.03172967147568e-57,0.548836726678792,0.614,0.513,1.35845099550702e-52
"MAST4",1.41263692579739e-56,-0.734472911268458,0.231,0.361,4.75973885778173e-52
"RPL32",1.49228946344902e-55,-0.49376284682882,0.539,0.641,5.02812011814514e-51
"PART1",1.99565449315473e-55,-0.820932461526243,0.175,0.297,6.72415824923554e-51
"SYN2",2.29508843002466e-55,0.390741402051722,0.722,0.626,7.73307095612509e-51
"RPL9",4.81854985722949e-55,-0.605148027804592,0.327,0.464,1.6235621888949e-50
"RPS2",6.48262439716858e-55,0.564754932192966,0.483,0.369,2.18425546438198e-50
"TARBP1",1.61626591097826e-54,-0.822187610047958,0.2,0.323,5.44584636045015e-50
"NAP1L3",2.85823949388747e-54,0.501321829059439,0.562,0.442,9.63055215070444e-50
"NACA",3.50699527656532e-54,-0.603207921017441,0.338,0.468,1.18164698848592e-49
"C1QTNF4",4.78418954573008e-54,1.02085429328,0.182,0.087,1.61198482553829e-49
"CES4A",5.22302852986146e-54,-0.801537671650643,0.252,0.372,1.75984723285152e-49
"AC016831.7",1.02222233088769e-52,1.89255463896613,0.084,0.024,3.44427592169299e-48
"RP11-161M6.2",2.51506781432528e-52,-0.871967748672115,0.179,0.294,8.47426949358759e-48
"ZNF292",3.665214456973e-52,-0.592610659188162,0.397,0.526,1.23495735913248e-47
"RASD1",4.60040651166149e-52,0.798878049443573,0.28,0.171,1.55006097003922e-47
"SNCA",8.99787429938309e-52,0.404606059590296,0.691,0.601,3.03174376643414e-47
"SYT7",9.88498384694873e-52,-0.53242655706083,0.437,0.563,3.3306464573909e-47
"HLF",2.19058607446082e-51,0.591062008815613,0.451,0.337,7.3809607192883e-47
