"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SDF2",0.960908932803802,0.168879575573186,0.049,0.051,1
"CACYBP",0.96110387926299,0.319919525798539,0.049,0.048,1
"EIF4E",0.96110387926299,0.112233455870596,0.049,0.048,1
"ORAI2",0.96118625460053,0.786520555434921,0.025,0.024,1
"UNC5D",0.96118625460053,0.572357828429816,0.025,0.024,1
"FAAP100",0.96118625460053,0.424721280343936,0.025,0.024,1
"ATPIF1",0.961264556627513,-0.230532445237725,0.185,0.18,1
"NCKAP1",0.961648455348004,-0.517832316560727,0.185,0.168,1
"SPATA6",0.961737358629162,0.170109867143637,0.037,0.036,1
"OSBPL9",0.961737358629162,0.103770392460259,0.037,0.036,1
"MROH7",0.961737358629162,0.121268456316996,0.037,0.036,1
"DLL1",0.961737358629162,0.113279703526945,0.037,0.036,1
"SLTM",0.962140642111281,-0.121820303093236,0.099,0.096,1
"FMR1",0.962906171001547,0.503211689226921,0.037,0.039,1
"KHDRBS3",0.962906171001547,0.232963567817208,0.037,0.039,1
"ZNF514",0.963079062416346,0.172888349796395,0.049,0.051,1
"PKN2",0.96324429366853,-0.369657814835908,0.16,0.153,1
"PRPF40A",0.963805432162678,-0.319941598241861,0.074,0.075,1
"BCKDK",0.964289189851707,0.387053215326594,0.025,0.024,1
"TXNL4B",0.964289189851707,0.315496817864225,0.025,0.024,1
"DHX8",0.964289189851707,0.194797770555105,0.025,0.024,1
"STAT2",0.96442874738649,-0.155873773691072,0.111,0.111,1
"FAM102A",0.964952665831528,0.123208579281667,0.086,0.09,1
"FAM73B",0.965249465580533,0.136609903454125,0.049,0.051,1
"TBCB",0.965765846243215,0.313263960906645,0.086,0.084,1
"SMIM13",0.966835879039511,0.209385763340324,0.037,0.036,1
"SQSTM1",0.966970782555584,-0.179062309540337,0.099,0.096,1
"ABR",0.967303440513645,-0.107739903834486,0.173,0.171,1
"ITPKB-AS1",0.96739266600864,0.126549735466535,0.025,0.024,1
"RAB9B",0.96739266600864,0.218799801597259,0.025,0.024,1
