"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TENM3",0.909563038185563,-0.167197121295568,0.123,0.115,1
"NAGK",0.909628754115796,-0.325836215046209,0.11,0.115,1
"RP11-434B12.1",0.909637328214536,-0.473031522227564,0.151,0.151,1
"LZTS1",0.909647976617507,0.448737868652129,0.11,0.108,1
"TNKS",0.910191480484413,0.411092960071831,0.192,0.194,1
"PARP6",0.910191480484413,0.27624167292641,0.192,0.194,1
"KSR2",0.910388409722518,-0.184050097573676,0.466,0.468,1
"TESK1",0.910486716843191,-0.355738809649036,0.137,0.137,1
"NDUFAF4",0.910791352582873,-0.116920491522166,0.151,0.158,1
"CUL3",0.911206675816858,0.373266649065462,0.096,0.094,1
"ANKRD33B",0.911206675816858,0.158514788160575,0.096,0.094,1
"TBCC",0.911206675816858,0.365229406115903,0.096,0.094,1
"MIA3",0.91176877951625,-0.16913700974476,0.247,0.259,1
"ERGIC3",0.911856389435855,0.156864300125587,0.192,0.209,1
"ACADSB",0.912067471166865,0.16146374495678,0.178,0.173,1
"HINT2",0.912130722195977,-0.465644354373538,0.055,0.05,1
"LLPH",0.912130908723044,-0.352364875807543,0.055,0.05,1
"BEX4",0.912168679282353,-0.158442085351888,0.356,0.353,1
"CKB",0.912274588533273,0.116316404991677,0.726,0.806,1
"UNC50",0.912351716403776,0.289268266888146,0.082,0.079,1
"COPB2",0.912351716403776,0.294585416370626,0.082,0.079,1
"RP11-511P7.5",0.912637143048199,-0.282442843446808,0.151,0.151,1
"IQCE",0.912672648431856,-0.254170438427155,0.082,0.086,1
"LBR",0.912828782764884,0.1135894512905,0.068,0.065,1
"UVSSA",0.912828782764884,0.28662851757952,0.068,0.065,1
"HTR4",0.912828782764884,0.118332241647564,0.068,0.065,1
"ARF6",0.912828782764884,0.131802954503429,0.068,0.065,1
"GLTSCR2",0.912828782764884,-0.281806143189898,0.068,0.065,1
"SNF8",0.912901945632775,0.223874204250144,0.192,0.194,1
"TRMT61B",0.913322243517315,-0.246386063037187,0.055,0.058,1
"SPTSSB",0.913322243517315,-0.207300145960881,0.055,0.058,1
"KCNMB3",0.913322243517315,-0.235457005941214,0.055,0.058,1
"TRIB1",0.913322243517315,-0.317244185773371,0.055,0.058,1
"LRP12",0.913453722832223,-0.283659022209172,0.274,0.266,1
"TRAPPC6B",0.913620895896548,0.122899222476967,0.219,0.237,1
